age,bmi,km5_time_seconds,km10_time_seconds
31.0,20.6562671661377,1338.0,NA
27.0,25.2319107055664,1130.0,NA
64.0,29.6846008300781,1511.0,3910
29.0,24.1301918029785,1172.0,NA
44.0,21.6913948059082,1336.0,NA
31.0,23.0057334899902,1296.0,NA
28.0,24.526159286499,1525.0,3540
28.0,23.7476806640625,2298.0,NA
55.0,26.7323513031006,NA,2779
34.0,21.0965118408203,1112.0,2553
28.0,20.2440662384033,1329.0,2812
35.0,27.2180500030518,2319.0,NA
29.0,21.8716468811035,1658.0,NA
24.0,24.7371654510498,2029.0,NA
28.0,21.6221160888672,1180.0,NA
38.0,20.035062789917,1175.0,NA
33.0,28.2599143981934,1264.0,2704
22.0,30.1846580505371,1837.0,NA
53.0,24.301830291748,1289.0,2692
27.0,24.8147010803223,1226.0,2662
35.0,25.0520324707031,1364.0,NA
34.0,22.5602970123291,1275.0,2734
41.0,23.6537818908691,1568.0,NA
21.0,23.7476806640625,NA,2685
45.0,27.7979793548584,1520.0,3383
21.0,20.3264484405518,888.0,1826
27.0,25.9301586151123,1434.0,NA
21.0,20.717794418335,1620.0,3746
32.0,22.5182952880859,1063.0,2318
39.0,19.6602687835693,1444.0,2913
45.0,23.849609375,1980.0,NA
27.0,22.3776226043701,NA,2576
33.0,25.9219512939453,1734.0,NA
22.0,24.0241413116455,1200.0,NA
16.0,22.9134426116943,1265.0,2918
28.0,23.9490718841553,1109.0,NA
52.0,25.0177135467529,1740.0,3720
20.0,28.9424858093262,1148.0,NA
28.0,21.6407279968262,NA,2338
36.0,20.5755500793457,1194.0,NA
43.0,26.6902332305908,NA,3367
26.0,23.7476806640625,1024.0,2124
39.0,26.7323513031006,1620.0,3225
32.0,21.8716468811035,1574.0,NA
26.0,25.0438270568848,2106.0,4526
33.0,21.1292610168457,1788.0,NA
22.0,22.57785987854,1095.0,2320
37.0,23.749605178833,NA,2827
31.0,20.1562099456787,1150.0,NA
30.0,23.3747253417969,1447.0,NA
33.0,21.7046508789062,1065.0,NA
41.0,28.4444446563721,NA,3000
33.0,26.7323513031006,1433.0,NA
39.0,24.4897956848145,1004.0,NA
42.0,21.2331256866455,1052.0,2294
40.0,25.1118907928467,NA,2912
37.0,20.8698558807373,NA,3300
29.0,21.6407279968262,907.0,1920
47.0,24.7028350830078,1069.0,2341
27.0,18.9126262664795,1188.0,2395
30.0,22.0195026397705,NA,3308
38.0,22.073543548584,1218.0,2578
30.0,23.7476806640625,924.0,NA
27.0,23.0834426879883,1620.0,3310
28.0,26.7323513031006,1130.0,NA
30.0,25.5447044372559,1440.0,NA
30.0,24.4107761383057,968.0,NA
41.0,22.8059120178223,NA,2173
28.0,20.7741470336914,NA,2401
37.0,26.6902332305908,992.0,2196
44.0,24.4410057067871,NA,2030
36.0,23.5690250396729,NA,2390
19.0,21.7046508789062,1070.0,2414
26.0,20.2515239715576,1710.0,4800
37.0,24.4897956848145,1276.0,NA
40.0,22.1496620178223,1277.0,2975
35.0,20.4711761474609,1246.0,2691
18.0,23.0055656433105,1035.0,NA
26.0,23.804801940918,1511.0,3147
27.0,24.8356456756592,1450.0,NA
24.0,20.3423118591309,NA,2241
27.0,28.0281085968018,1357.0,NA
31.0,20.0404033660889,1130.0,NA
34.0,24.5028400421143,1370.0,NA
35.0,25.2525272369385,NA,3096
32.0,25.2475166320801,1260.0,NA
23.0,21.1533641815186,1129.0,NA
26.0,22.3576831817627,1751.0,3541
23.0,22.1146373748779,1261.0,2460
35.0,23.804801940918,1170.0,NA
19.0,21.2497501373291,1020.0,NA
48.0,21.8394889831543,1503.0,NA
32.0,21.8716468811035,NA,3480
38.0,23.804801940918,NA,2294
31.0,22.607931137085,1139.0,NA
26.0,26.0479640960693,NA,2815
54.0,23.5690250396729,1290.0,NA
35.0,23.8812599182129,1353.0,2702
24.0,22.2178153991699,1080.0,2235
54.0,24.2171993255615,1698.0,3623
41.0,27.4582576751709,1440.0,NA
27.0,27.2262420654297,1063.0,NA
40.0,20.6220989227295,NA,2684
31.0,47.1846466064453,1801.0,4548
28.0,20.2010326385498,NA,2065
35.0,23.660530090332,NA,2308
16.0,17.5578269958496,1131.0,NA
32.0,19.3457050323486,869.0,NA
21.0,26.4268379211426,1334.0,NA
27.0,23.905969619751,NA,2853
47.0,21.1900501251221,NA,3266
26.0,20.7748546600342,900.0,NA
21.0,21.3856105804443,NA,2401
38.0,22.0195026397705,NA,2824
19.0,21.7809944152832,1031.0,2218
48.0,25.5360584259033,1371.0,2896
27.0,25.0438270568848,1649.0,NA
25.0,22.6262626647949,988.0,NA
54.0,23.0055656433105,1121.0,2318
32.0,21.9138050079346,1564.0,3314
31.0,23.845006942749,1980.0,3902
30.0,20.4711761474609,930.0,1840
36.0,22.4466896057129,990.0,NA
52.0,22.1496620178223,1175.0,NA
31.0,24.526159286499,1371.0,NA
45.0,21.0636425018311,NA,2380
32.0,24.5360145568848,1695.0,NA
46.0,20.6562671661377,1240.0,NA
43.0,23.9701690673828,1666.0,3764
39.0,23.804801940918,NA,2427
34.0,22.7272720336914,1560.0,NA
31.0,21.3892345428467,1162.0,NA
39.0,27.8902969360352,1516.0,NA
46.0,34.3923683166504,1327.0,NA
24.0,21.3041477203369,1583.0,3185
30.0,23.677225112915,NA,1945
35.0,20.132116317749,1234.0,2538
33.0,25.5207347869873,NA,3234
57.0,22.794900894165,1381.0,2876
29.0,23.0823860168457,1560.0,NA
30.0,23.3747253417969,1106.0,NA
36.0,27.996223449707,NA,3180
49.0,24.1929512023926,1758.0,3900
22.0,31.4564304351807,1920.0,NA
29.0,28.659646987915,NA,3905
19.0,23.804801940918,983.0,NA
37.0,25.9219512939453,NA,3510
32.0,26.1171722412109,1259.0,NA
43.0,32.968578338623,NA,3732
32.0,20.4466800689697,1534.0,NA
34.0,25.7457370758057,NA,3660
31.0,26.655445098877,1170.0,2475
34.0,22.3340663909912,NA,2465
24.0,20.5856952667236,1426.0,NA
47.0,24.3706893920898,2165.0,NA
38.0,27.1230449676514,1860.0,NA
41.0,25.9740257263184,1812.0,NA
18.0,20.2440662384033,1548.0,NA
20.0,21.2330913543701,1230.0,NA
22.0,20.6220989227295,1003.0,NA
43.0,21.4995975494385,1426.0,NA
23.0,19.1761360168457,1350.0,NA
40.0,25.2525272369385,1410.0,2910
25.0,21.0437717437744,1050.0,2218
39.0,25.3575439453125,1158.0,NA
50.0,27.4582576751709,NA,2880
47.0,24.0906047821045,1250.0,NA
25.0,23.1481494903564,1454.0,NA
35.0,21.6407279968262,1251.0,2757
31.0,25.9688739776611,1436.0,2651
44.0,21.4388771057129,1361.0,NA
30.0,27.548210144043,1072.0,NA
28.0,21.1726741790771,1500.0,NA
43.0,30.5512580871582,1546.0,NA
28.0,22.794900894165,1454.0,NA
31.0,21.9969062805176,957.0,2020
30.0,20.4190330505371,1320.0,NA
39.0,24.2090320587158,1572.0,3205
29.0,22.9134426116943,1110.0,NA
46.0,22.133243560791,1025.0,NA
37.0,23.849609375,1005.0,2205
27.0,21.8359222412109,1116.0,NA
31.0,24.8505821228027,1500.0,NA
